Geneid	HER21	HER22	HER23	NonTNBC1	NonTNBC2	NonTNBC3	Normal1	Normal2	Normal3	TNBC1	TNBC2	TNBC3
ENSG00000054523	1332	2409	1503	2907	1660	1449	1056	5101	5732	1688	1399	1502
ENSG00000264881	0	1	0	0	1	1	0	0	1	1	0	0
ENSG00000199562	11	10	7	5	2	4	1	1	1	2	3	0
ENSG00000264501	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284735	6	2	2	12	14	4	3	11	9	15	2	9
ENSG00000284642	3	2	2	3	11	7	6	13	8	10	3	4
ENSG00000142657	586	606	692	776	613	344	1302	2792	2102	526	452	738
ENSG00000271989	0	0	0	0	0	0	1	0	1	1	0	1
ENSG00000251503	0	1	1	0	1	1	0	3	2	4	1	2
ENSG00000175279	15	21	23	43	25	14	7	13	7	25	12	20
ENSG00000241563	2	0	1	2	5	11	5	6	2	17	4	4
ENSG00000160049	190	381	288	663	530	498	593	1798	1890	583	460	350
ENSG00000203469	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142655	69	113	64	138	107	75	154	593	608	81	72	53
ENSG00000287727	32	35	19	17	14	14	3	11	1	25	6	16
ENSG00000243267	0	1	0	1	3	2	2	2	2	7	1	0
ENSG00000130940	141	358	279	538	560	469	394	1371	1417	167	249	223
ENSG00000272078	7	23	16	18	35	22	34	160	101	9	19	14
ENSG00000225158	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000175262	6	4	7	27	21	17	1	1	2	24	16	15
ENSG00000215785	0	0	0	2	9	5	0	0	0	10	4	8
ENSG00000120948	814	1662	998	2356	1266	1348	1381	3231	4511	1439	1060	1458
ENSG00000277726	1	0	0	0	1	1	1	1	1	0	1	0
ENSG00000009724	25	45	22	33	29	31	19	64	59	37	19	14
ENSG00000271895	16	10	9	14	25	20	10	35	22	12	14	5
ENSG00000116649	114	441	175	377	223	176	589	1268	1031	148	218	235
ENSG00000171824	453	1082	507	1073	719	578	673	1737	1854	576	439	630
ENSG00000226849	6	4	5	1	6	1	3	9	6	3	3	3
ENSG00000230337	1	2	5	5	12	3	3	3	1	3	4	1
ENSG00000198793	1084	1677	1442	2032	1697	1228	471	1051	1284	989	1093	777
ENSG00000225602	3	20	8	4	4	6	0	0	0	8	4	3
ENSG00000253086	1	4	2	0	1	1	0	0	0	2	0	4
ENSG00000171819	28	67	28	4	34	25	6	17	42	35	15	9
ENSG00000207451	0	2	0	0	1	0	0	0	0	0	1	1
ENSG00000238173	3	1	2	4	1	1	0	0	0	2	0	0
ENSG00000120942	108	184	145	591	349	251	208	459	848	126	147	151
ENSG00000238199	2	0	1	1	1	4	0	1	1	3	1	2
ENSG00000284646	0	0	0	2	3	6	0	0	3	2	0	4
ENSG00000224338	0	0	0	3	2	0	0	0	0	1	0	0
ENSG00000204624	5	1	13	32	34	28	0	15	5	33	15	18
ENSG00000285833	0	0	0	0	4	0	0	0	0	0	1	0
ENSG00000235643	0	0	0	2	0	0	1	2	0	3	1	1
ENSG00000284708	2	6	1	15	13	7	3	5	6	30	17	6
ENSG00000116661	20	163	7	866	222	56	366	179	362	101	646	147
ENSG00000132879	81	152	82	307	221	210	381	456	439	68	196	92
ENSG00000116663	64	77	155	310	118	121	106	137	115	134	95	61
ENSG00000116670	131	183	160	550	292	233	267	399	341	261	256	450
ENSG00000162490	8	11	9	26	27	24	18	33	113	73	39	119
ENSG00000177674	135	133	159	594	305	225	358	458	347	236	233	155
ENSG00000215910	2	0	0	30	38	24	3	0	2	31	15	10
ENSG00000177553	0	0	0	0	2	1	1	0	0	1	0	1
ENSG00000177000	355	223	333	1170	408	402	281	584	512	220	245	269
ENSG00000011021	220	259	194	306	224	280	220	519	559	217	179	122
ENSG00000276470	0	0	0	0	0	0	0	0	0	0	0	0
