	PVALUE	QVALUE	PROV_PVALUE	SIFT_PVALUE
ENSG00000144868	0.26278658117817644	0.9257582229794684	0.2847	0.2547
ENSG00000144893	0.5437797598397347	1.0	0.5231	0.4089
ENSG00000144908	0.5920786533520239	1.0	0.3927	0.6284
ENSG00000144959	0.47776762193332756	1.0	0.4966	0.3498
ENSG00000144962	0.26823234285100017	0.9308731847389843	0.3916	0.1905
ENSG00000145041	0.0621168113475401	0.6203002645993623	0.0214	0.5297
ENSG00000145075	0.9059814393507475	1.0	0.8458	0.7082
ENSG00000145087	0.5561122722566468	1.0	0.6797	0.3266
ENSG00000145113	0.9270721265226376	1.0	0.9027	0.7126
ENSG00000145147	0.01703442768261365	0.4332823306822476	0.0293	0.0828
ENSG00000145191	0.062410318393625985	0.6203002645993623	0.0219	0.5206
ENSG00000145194	0.07190472386346258	0.6519906509113186	0.1081	0.1255
ENSG00000145198	0.8937248808535511	1.0	0.7023	0.8201
ENSG00000145216	0.8144816256413958	1.0	0.6021	0.7582
ENSG00000145217	0.9963792699465617	1.0	0.9613	0.953
ENSG00000145242	0.7412563799075564	1.0	0.6919	0.5397
ENSG00000145244	0.10919182069050692	0.724451925119564	0.0814	0.2807
ENSG00000145293	0.9999781719252483	1.0	0.9934	1.0
ENSG00000145321	0.6214360697002195	1.0	0.8058	0.3331
ENSG00000145348	0.14183512499273632	0.7825826428492112	0.1388	0.2299
ENSG00000145362	0.12276868360665749	0.7495737355665443	0.6374	0.0416
ENSG00000145390	0.36807174362058837	1.0	0.7355	0.1591
ENSG00000145414	0.8253378314355743	1.0	0.6378	0.7379
ENSG00000145416	0.6790295144890263	1.0	0.7434	0.4239
ENSG00000145451	0.9846323676257709	1.0	0.9934	0.8354
ENSG00000145495	0.3787050331051097	1.0	0.3059	0.3989
ENSG00000145506	0.48250557118486004	1.0	0.2493	0.7077
ENSG00000145526	0.1717039812606136	0.8292387888887472	0.4572	0.0895
ENSG00000145536	0.8454507805237724	1.0	0.6755	0.7378
ENSG00000145555	0.6672530013286306	1.0	0.5011	0.6088
ENSG00000145569	0.41439503967272073	1.0	0.4707	0.2965
ENSG00000145604	0.5048718209717858	1.0	0.3984	0.4759
ENSG00000145623	0.9796604039391166	1.0	0.9984	0.8065
ENSG00000145675	0.4793703944149781	1.0	0.5219	0.3346
ENSG00000145681	0.4139966531947079	1.0	0.3984	0.3498
ENSG00000145692	0.23622267016402476	0.9026403910680975	0.1176	0.5328
ENSG00000145700	0.4981150508886635	1.0	0.4693	0.3954
ENSG00000145703	0.9924250728636655	1.0	0.9986	0.8807
ENSG00000145725	0.1744893555836634	0.8336864767949	0.1057	0.3954
ENSG00000145730	0.1906292791020684	0.8583847863026063	0.314	0.1496
ENSG00000145734	0.1332212829520254	0.7625083702109391	0.1687	0.1745
ENSG00000145740	0.6325688659475392	1.0	0.5047	0.5488
ENSG00000145794	0.6351320956363751	1.0	0.5134	0.5434
ENSG00000145808	0.4664254115609845	1.0	0.3757	0.4453
ENSG00000145826	0.707301127986087	1.0	0.6401	0.5319
ENSG00000145833	0.6886417480033904	1.0	0.5285	0.6122
ENSG00000145868	0.7363448539967875	1.0	0.5622	0.6554
ENSG00000145888	0.9633620802588708	1.0	0.8094	0.9165
ENSG00000145934	0.7377577907746172	1.0	0.594	0.6227
ENSG00000145936	0.16280969634707965	0.814221614109664	0.1842	0.2072
ENSG00000145949	0.9999781719252483	1.0	0.9934	1.0
ENSG00000145975	0.8037749155552746	1.0	0.7446	0.5951
ENSG00000145979	0.6474878651249698	1.0	0.5635	0.5125
ENSG00000145990	0.7189889620261909	1.0	0.5162	0.6809
ENSG00000146039	0.89511006429156	1.0	0.6942	0.8333
ENSG00000146072	0.9992413035210354	1.0	0.9613	1.0
ENSG00000146085	0.42794392735758824	1.0	0.2152	0.6809
ENSG00000146122	0.4213167177594941	1.0	0.3059	0.4678
ENSG00000146147	0.9550830132529202	1.0	0.8383	0.8537
ENSG00000146151	0.754346315371901	1.0	0.53	0.7301
ENSG00000146192	0.190184857654209	0.8583847863026063	0.0989	0.4735
ENSG00000146197	0.5453080687536038	1.0	0.2891	0.7433
ENSG00000146216	0.36958657883721746	1.0	0.5216	0.2257
ENSG00000146221	0.2288101572585941	0.8962340345017138	0.4804	0.1249
ENSG00000146232	0.9999781719252483	1.0	0.9934	1.0
ENSG00000146247	0.017460984806170976	0.4358978238925113	0.0537	0.0465
ENSG00000146276	0.21201468603640405	0.8792681678395443	0.1686	0.3211
ENSG00000146350	0.9794750122626824	1.0	0.9934	0.8097
ENSG00000146378	0.5020687345032248	1.0	0.5998	0.3133
ENSG00000146409	0.9992413035210354	1.0	0.9613	1.0
